Location in Wind Tunnel,LocationMaizeDes,Clock,Date,Treatment,Repetition,Treatment Left,Treatment Right,Responding,Comment,Video Save Time,Determination via Video
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:29:24,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:29:28,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:29:32,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:29:40,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:29:47,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:29:48,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:29:52,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:29:52,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:29:55,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:29:56,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:30:09,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:30:13,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:30:17,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:30:18,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:30:23,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:30:29,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:30:36,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:30:37,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:30:38,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:30:39,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:30:48,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:30:52,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:30:57,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:31:00,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:31:06,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:31:07,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:31:09,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:31:11,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:31:14,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:31:15,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:31:25,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:31:36,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:31:39,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:31:45,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:31:49,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:31:53,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:31:58,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:32:01,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:32:08,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:32:10,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:32:22,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:32:26,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:32:45,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:32:48,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:32:49,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:32:54,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:32:57,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:32:57,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:33:00,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:33:01,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:33:05,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:33:06,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:33:13,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:33:20,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:33:29,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 13:33:31,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 13:33:37,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
End,End,4/18/2024 13:33:41,6/18/2023,Intortum,B8,Maize + D. intortum,Maize,Yes,-,20230619_000514,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:38:53,6/18/2023,Intortum,B9,Maize + D. intortum,Maize,Yes,-,20230619_002541,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:38:54,6/18/2023,Intortum,B9,Maize + D. intortum,Maize,Yes,-,20230619_002541,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:38:56,6/18/2023,Intortum,B9,Maize + D. intortum,Maize,Yes,-,20230619_002541,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:38:57,6/18/2023,Intortum,B9,Maize + D. intortum,Maize,Yes,-,20230619_002541,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:42:36,6/18/2023,Intortum,B9,Maize + D. intortum,Maize,Yes,-,20230619_002541,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:42:37,6/18/2023,Intortum,B9,Maize + D. intortum,Maize,Yes,-,20230619_002541,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:42:38,6/18/2023,Intortum,B9,Maize + D. intortum,Maize,Yes,-,20230619_002541,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 13:42:43,6/18/2023,Intortum,B9,Maize + D. intortum,Maize,Yes,-,20230619_002541,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 13:43:01,6/18/2023,Intortum,B9,Maize + D. intortum,Maize,Yes,-,20230619_002541,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 13:43:03,6/18/2023,Intortum,B9,Maize + D. intortum,Maize,Yes,-,20230619_002541,Yes
End,End,4/18/2024 13:44:06,6/18/2023,Intortum,B9,Maize + D. intortum,Maize,Yes,-,20230619_002541,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/15/2023 0:44:35,6/18/2023,Intortum,B10,Maize + D. intortum,Maize,Yes,"The video recorded for only 1:20min. In the original observations the moth was recorded in the middle at the beginning and on the left side after approx. 2 min. However, in the video it can be seen that the moth flew to the left during the first minute and that I was searching for the moth in the windtunnel. Therefore it is most probable that the moth was flying to the left in the first minute and didn't move position afterwards, as no further movement was detectet in the original observations. The late timestamp for the left segment is then as well reasonable, as the moth was then most probable found after I had to search for it before. ",20230619_004103,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/15/2023 0:44:37,6/18/2023,Intortum,B10,Maize + D. intortum,Maize,Yes,"The video recorded for only 1:20min. In the original observations the moth was recorded in the middle at the beginning and on the left side after approx. 2 min. However, in the video it can be seen that the moth flew to the left during the first minute and that I was searching for the moth in the windtunnel. Therefore it is most probable that the moth was flying to the left in the first minute and didn't move position afterwards, as no further movement was detectet in the original observations. The late timestamp for the left segment is then as well reasonable, as the moth was then most probable found after I had to search for it before. ",20230619_004103,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/15/2023 0:44:40,6/18/2023,Intortum,B10,Maize + D. intortum,Maize,Yes,"The video recorded for only 1:20min. In the original observations the moth was recorded in the middle at the beginning and on the left side after approx. 2 min. However, in the video it can be seen that the moth flew to the left during the first minute and that I was searching for the moth in the windtunnel. Therefore it is most probable that the moth was flying to the left in the first minute and didn't move position afterwards, as no further movement was detectet in the original observations. The late timestamp for the left segment is then as well reasonable, as the moth was then most probable found after I had to search for it before. ",20230619_004103,Yes
Left (30cm-50cm),Des (30cm-50cm),8/15/2023 0:45:09,6/18/2023,Intortum,B10,Maize + D. intortum,Maize,Yes,"The video recorded for only 1:20min. In the original observations the moth was recorded in the middle at the beginning and on the left side after approx. 2 min. However, in the video it can be seen that the moth flew to the left during the first minute and that I was searching for the moth in the windtunnel. Therefore it is most probable that the moth was flying to the left in the first minute and didn't move position afterwards, as no further movement was detectet in the original observations. The late timestamp for the left segment is then as well reasonable, as the moth was then most probable found after I had to search for it before. ",20230619_004103,Yes
End,End,8/15/2023 0:49:35,6/18/2023,Intortum,B10,Maize + D. intortum,Maize,Yes,"The video recorded for only 1:20min. In the original observations the moth was recorded in the middle at the beginning and on the left side after approx. 2 min. However, in the video it can be seen that the moth flew to the left during the first minute and that I was searching for the moth in the windtunnel. Therefore it is most probable that the moth was flying to the left in the first minute and didn't move position afterwards, as no further movement was detectet in the original observations. The late timestamp for the left segment is then as well reasonable, as the moth was then most probable found after I had to search for it before. ",20230619_004103,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 15:42:49,6/19/2023,Intortum,B11,Maize + D. intortum,Maize,Yes,-,20230619_214717,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 15:42:52,6/19/2023,Intortum,B11,Maize + D. intortum,Maize,Yes,-,20230619_214717,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:42:54,6/19/2023,Intortum,B11,Maize + D. intortum,Maize,Yes,-,20230619_214717,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:42:56,6/19/2023,Intortum,B11,Maize + D. intortum,Maize,Yes,-,20230619_214717,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 15:42:56,6/19/2023,Intortum,B11,Maize + D. intortum,Maize,Yes,-,20230619_214717,Yes
End,End,8/17/2023 15:47:49,6/19/2023,Intortum,B11,Maize + D. intortum,Maize,Yes,-,20230619_214717,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:44:35,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:44:38,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Left (30cm-50cm),Des (30cm-50cm),8/17/2023 15:44:41,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 15:44:43,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:44:43,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:44:45,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 15:44:46,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:44:47,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 15:44:50,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:44:51,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:44:52,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:44:54,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:44:58,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 15:45:00,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:45:04,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 15:45:05,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:45:10,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
End,End,8/17/2023 15:49:45,6/19/2023,Intortum,B12,Maize + D. intortum,Maize,Yes,-,20230619_220146,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 15:53:58,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 15:54:00,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:54:06,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 15:54:20,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Left (30cm-50cm),Des (30cm-50cm),8/17/2023 15:54:21,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 15:54:23,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:54:24,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:54:25,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 15:54:29,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:54:32,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:54:34,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 15:54:34,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Left (30cm-50cm),Des (30cm-50cm),8/17/2023 15:54:35,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 15:54:38,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:54:40,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:54:41,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:54:43,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:58:52,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:58:58,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:59:01,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 15:59:08,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 15:59:25,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Left (30cm-50cm),Des (30cm-50cm),8/17/2023 15:59:27,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 15:59:28,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:59:28,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Left (30cm-50cm),Des (30cm-50cm),8/17/2023 15:59:31,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 15:59:33,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 15:59:42,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
End,End,8/17/2023 15:59:44,6/19/2023,Intortum,B13,Maize + D. intortum,Maize,Yes,-,20230619_221722,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),11/3/2023 13:10:51,6/19/2023,Incanum,B11,Maize + D. incanum,Maize,Yes,-,20230620_225529,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),11/3/2023 13:10:59,6/19/2023,Incanum,B11,Maize + D. incanum,Maize,Yes,-,20230620_225529,Yes
Left (30cm-50cm),Des (30cm-50cm),11/3/2023 13:11:01,6/19/2023,Incanum,B11,Maize + D. incanum,Maize,Yes,-,20230620_225529,Yes
End,End,11/3/2023 13:15:32,6/19/2023,Incanum,B11,Maize + D. incanum,Maize,Yes,-,20230620_225529,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 16:01:17,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 16:01:18,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 16:01:20,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 16:01:23,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 16:01:26,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 16:01:35,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 16:01:38,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 16:01:39,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 16:01:41,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 16:01:42,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 16:01:49,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 16:01:55,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 16:02:00,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 16:02:01,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 16:02:15,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 16:02:25,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 16:02:28,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 16:03:04,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 16:03:05,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 16:03:06,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 16:03:09,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 16:03:19,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/17/2023 16:03:19,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/17/2023 16:03:21,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/17/2023 16:03:22,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/17/2023 16:03:25,6/19/2023,Incanum,B13,Maize + D. incanum,Maize,Yes,-,20230619_234812,Yes
